#lib,ops/sec,incdec (± x %),runs,,,,,,,
lodash,1953456,6.70%,8,,,Ops/sec,Count,Averages,Min,Max
lodash,652528932,0.45%,8,,,Lodash,45,86488001.8222222,527176,652528932
lodash,651440427,1.26%,8,,,Underscore,29,103855445.655172,663814,642781462
lodash,27988482,31.89%,12,,,Native,54,141717174.981481,1145772,660003272
lodash,18453853,4.08%,9,,,,,,,
lodash,1604663,11.14%,9,,,,Best,141717174.981481,1145772,660003272
lodash,10933877,6.56%,14,,,,Worst,86488001.8222222,527176,642781462
lodash,4521999,9.73%,10,,,,,,,
lodash,597046,9.72%,12,,,,,,,
lodash,527176,4.68%,17,,,,,,,
lodash,268173174,43.11%,18,,,Native is,163.86%,more performant than Lodash,,
lodash,292587584,38.25%,18,,,,136.46%,more performant than Underscore,,
lodash,266931046,43.02%,18,,,So,150.16%,more performant than both,,
lodash,274459519,37.93%,18,,,Lodash is,83.28%,more performant than Underscore,,
lodash,1176156,9.51%,23,,,,,,,
lodash,15646348,8.07%,27,,,,,,,
lodash,180689792,24.09%,30,,,,,,,
lodash,59479460,4.27%,32,,,,,,,
lodash,193731859,23.74%,31,,,,,,,
lodash,186779280,22.67%,30,,,,,,,
lodash,193452334,20.89%,32,,,,,,,
lodash,34280514,11.20%,34,,,,,,,
lodash,30819721,8.76%,37,,,,,,,
lodash,14262928,6.07%,37,,,,,,,
lodash,4227320,8.01%,38,,,,,,,
lodash,1063437,9.49%,41,,,,,,,
lodash,4875536,8.91%,40,,,,,,,
lodash,65769023,8.02%,56,,,,,,,
lodash,28746902,4.50%,56,,,,,,,
lodash,52747262,8.98%,59,,,,,,,
lodash,96598275,8.06%,60,,,,,,,
lodash,37141701,12.09%,61,,,,,,,
lodash,42005277,6.61%,66,,,,,,,
lodash,34082941,9.97%,70,,,,,,,
lodash,17706674,11.19%,75,,,,,,,
lodash,22322333,6.62%,74,,,,,,,
lodash,18494587,8.14%,75,,,,,,,
lodash,11103394,9.36%,77,,,,,,,
lodash,7325861,10.34%,75,,,,,,,
lodash,15031135,7.73%,77,,,,,,,
lodash,13099377,6.31%,79,,,,,,,
lodash,12845564,6.36%,80,,,,,,,
lodash,12788602,4.35%,83,,,,,,,
lodash,7166942,5.52%,86,,,,,,,
lodash,3798313,3.52%,88,,,,,,,
underscore,45507255,6.13%,7,,,,,,,
underscore,1094197,35.56%,8,,,,,,,
underscore,727784,9.77%,6,,,,,,,
underscore,14793600,4.08%,15,,,,,,,
underscore,13019711,4.43%,8,,,,,,,
underscore,621514623,11.00%,18,,,,,,,
underscore,1857465,2.21%,8,,,,,,,
underscore,642781462,0.70%,20,,,,,,,
